Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '19226.71', '0.01000000']],2023-01-13T15:27:42.008796Z
l2update,BTC-USD,[['buy', '19221.28', '0.02600757']],2023-01-13T15:27:42.008822Z
l2update,BTC-USD,[['buy', '19223.33', '0.02000000']],2023-01-13T15:27:42.008873Z
l2update,BTC-USD,[['sell', '19226.83', '0.02000000']],2023-01-13T15:27:42.008893Z
l2update,BTC-USD,[['buy', '19223.59', '0.03871546']],2023-01-13T15:27:42.009803Z
l2update,BTC-USD,[['sell', '19227.29', '0.00000000']],2023-01-13T15:27:42.011576Z
l2update,BTC-USD,[['buy', '19222.16', '0.00400000']],2023-01-13T15:27:42.011856Z
l2update,BTC-USD,[['sell', '19226.83', '0.00000000']],2023-01-13T15:27:42.014487Z
l2update,BTC-USD,[['buy', '19223.58', '0.04909897']],2023-01-13T15:27:42.016591Z
l2update,BTC-USD,[['buy', '19224.28', '0.01500000']],2023-01-13T15:27:42.016784Z
l2update,BTC-USD,[['sell', '19226.69', '0.01000000']],2023-01-13T15:27:42.016792Z
l2update,BTC-USD,[['buy', '19223.58', '0.05909897']],2023-01-13T15:27:42.016866Z
l2update,BTC-USD,[['buy', '19222.64', '0.05000000']],2023-01-13T15:27:42.016927Z
l2update,BTC-USD,[['sell', '19226.63', '0.02000000']],2023-01-13T15:27:42.016969Z
l2update,BTC-USD,[['buy', '19223.58', '0.06309897']],2023-01-13T15:27:42.017588Z
l2update,BTC-USD,[['buy', '19222.64', '0.07600751']],2023-01-13T15:27:42.017665Z
l2update,BTC-USD,[['sell', '19229.32', '0.09226977']],2023-01-13T15:27:42.017704Z
l2update,BTC-USD,[['sell', '19226.83', '0.01000000']],2023-01-13T15:27:42.017744Z
l2update,BTC-USD,[['buy', '19223.53', '0.01266492']],2023-01-13T15:27:42.017744Z
l2update,BTC-USD,[['sell', '19226.63', '0.02400000']],2023-01-13T15:27:42.018435Z
l2update,BTC-USD,[['buy', '19222.16', '0.00000000']],2023-01-13T15:27:42.021488Z
l2update,BTC-USD,[['buy', '19223.33', '0.00000000']],2023-01-13T15:27:42.021510Z
l2update,BTC-USD,[['buy', '19222.64', '0.05000000']],2023-01-13T15:27:42.021530Z
l2update,BTC-USD,[['sell', '19226.64', '0.00000000']],2023-01-13T15:27:42.023272Z
l2update,BTC-USD,[['sell', '19226.63', '0.02000000']],2023-01-13T15:27:42.025206Z
l2update,BTC-USD,[['buy', '19223.58', '0.05909897']],2023-01-13T15:27:42.025301Z
l2update,BTC-USD,[['buy', '19201.89', '0.00000000']],2023-01-13T15:27:42.025981Z
l2update,BTC-USD,[['buy', '19223.34', '0.02000000']],2023-01-13T15:27:42.029417Z
l2update,BTC-USD,[['sell', '19227.40', '0.02000000']],2023-01-13T15:27:42.029812Z
l2update,BTC-USD,[['buy', '19223.58', '0.07137406']],2023-01-13T15:27:42.030354Z
l2update,BTC-USD,[['buy', '19222.64', '0.07600751']],2023-01-13T15:27:42.030905Z
l2update,BTC-USD,[['sell', '19228.58', '0.02600900']],2023-01-13T15:27:42.031362Z
l2update,BTC-USD,[['buy', '19224.28', '0.00000000']],2023-01-13T15:27:42.033042Z
l2update,BTC-USD,[['buy', '19222.64', '0.05000000']],2023-01-13T15:27:42.033677Z
l2update,BTC-USD,[['sell', '19226.63', '0.03000000']],2023-01-13T15:27:42.037988Z
l2update,BTC-USD,[['sell', '19226.63', '0.07000000']],2023-01-13T15:27:42.038482Z
l2update,BTC-USD,[['buy', '19220.96', '4.97477885']],2023-01-13T15:27:42.038499Z
l2update,BTC-USD,[['buy', '19223.60', '0.01500000']],2023-01-13T15:27:42.038516Z
l2update,BTC-USD,[['buy', '19223.60', '0.01900000']],2023-01-13T15:27:42.038533Z
l2update,BTC-USD,[['sell', '19226.62', '0.00400000']],2023-01-13T15:27:42.038600Z
l2update,BTC-USD,[['buy', '19223.34', '0.00000000']],2023-01-13T15:27:42.040412Z
l2update,BTC-USD,[['buy', '19220.96', '4.87074899']],2023-01-13T15:27:42.041352Z
l2update,BTC-USD,[['buy', '19223.58', '0.06137406']],2023-01-13T15:27:42.041403Z
l2update,BTC-USD,[['sell', '19226.69', '0.00000000']],2023-01-13T15:27:42.041410Z
l2update,BTC-USD,[['sell', '19226.63', '0.06000000']],2023-01-13T15:27:42.042814Z
l2update,BTC-USD,[['buy', '19217.63', '0.00000000']],2023-01-13T15:27:42.043088Z
l2update,BTC-USD,[['buy', '19222.96', '0.00000000']],2023-01-13T15:27:42.044689Z
l2update,BTC-USD,[['sell', '19226.63', '0.02000000']],2023-01-13T15:27:42.044851Z
l2update,BTC-USD,[['buy', '19223.60', '0.02900000']],2023-01-13T15:27:42.045721Z
l2update,BTC-USD,[['sell', '19227.33', '0.05977900']],2023-01-13T15:27:42.051918Z
l2update,BTC-USD,[['sell', '19226.70', '0.02000000']],2023-01-13T15:27:42.052031Z
l2update,BTC-USD,[['sell', '19226.62', '0.04400000']],2023-01-13T15:27:42.052252Z
l2update,BTC-USD,[['buy', '19223.61', '0.03624827']],2023-01-13T15:27:42.052277Z
l2update,BTC-USD,[['sell', '19248.62', '0.00000000']],2023-01-13T15:27:42.052305Z
l2update,BTC-USD,[['buy', '19223.58', '0.08137406']],2023-01-13T15:27:42.052723Z
l2update,BTC-USD,[['buy', '19223.57', '0.00000000']],2023-01-13T15:27:42.055019Z
l2update,BTC-USD,[['buy', '19223.60', '0.02500000']],2023-01-13T15:27:42.055222Z
l2update,BTC-USD,[['buy', '19223.60', '0.01500000']],2023-01-13T15:27:42.055320Z
l2update,BTC-USD,[['buy', '19223.58', '0.03227509']],2023-01-13T15:27:42.055455Z
l2update,BTC-USD,[['sell', '19226.70', '0.01000000']],2023-01-13T15:27:42.056379Z
l2update,BTC-USD,[['buy', '19223.60', '0.10300000']],2023-01-13T15:27:42.057212Z
l2update,BTC-USD,[['buy', '19224.29', '0.01227509']],2023-01-13T15:27:42.057245Z
l2update,BTC-USD,[['buy', '19221.20', '0.00000000']],2023-01-13T15:27:42.058231Z
l2update,BTC-USD,[['buy', '19222.63', '0.00000000']],2023-01-13T15:27:42.058558Z
l2update,BTC-USD,[['buy', '19223.07', '0.07620304']],2023-01-13T15:27:42.061039Z
l2update,BTC-USD,[['sell', '19227.37', '0.00060773']],2023-01-13T15:27:42.061078Z
