Type,Sequence,Product_ID,Price,Open_24h,Volume_24h,Low_24h,High_24h,Volume_30d,Best_bid,Best_bid_size,Best_ask,Best_ask_size,Side,Trade_ID,Last_size,Time
ticker,53112578939,BTC-USD,19224.28,18086.83,50650.29056059,18055.25,19260.5,658183.46203472,19224.28,0.00870058,19226.65,0.04000000,sell,483098656,0.00129942,2023-01-13T15:27:41.968448Z
ticker,53112579340,BTC-USD,19224.3,18086.83,50650.30283568,18055.25,19260.5,658183.47430981,19223.61,0.00400000,19226.57,0.04000000,sell,483098657,0.01227509,2023-01-13T15:27:42.362951Z
ticker,53112579342,BTC-USD,19223.61,18086.83,50650.30683568,18055.25,19260.5,658183.47830981,19223.60,0.01500000,19226.57,0.04000000,sell,483098658,0.004,2023-01-13T15:27:42.362951Z
ticker,53112579344,BTC-USD,19223.6,18086.83,50650.32183568,18055.25,19260.5,658183.49330981,19223.14,0.03484951,19226.57,0.04000000,sell,483098659,0.015,2023-01-13T15:27:42.362951Z
ticker,53112579346,BTC-USD,19223.14,18086.83,50650.35668519,18055.25,19260.5,658183.52815932,19223.10,0.06455484,19226.57,0.04000000,sell,483098660,0.03484951,2023-01-13T15:27:42.362951Z
ticker,53112579348,BTC-USD,19223.1,18086.83,50650.42124003,18055.25,19260.5,658183.59271416,19223.09,0.01000000,19226.57,0.04000000,sell,483098661,0.06455484,2023-01-13T15:27:42.362951Z
ticker,53112579350,BTC-USD,19223.09,18086.83,50650.43124003,18055.25,19260.5,658183.60271416,19223.04,0.05400888,19226.57,0.04000000,sell,483098662,0.01,2023-01-13T15:27:42.362951Z
ticker,53112579352,BTC-USD,19223.04,18086.83,50650.46524891,18055.25,19260.5,658183.63672304,19223.04,0.02000000,19226.57,0.04000000,sell,483098663,0.03400888,2023-01-13T15:27:42.362951Z
ticker,53112579354,BTC-USD,19223.04,18086.83,50650.48524891,18055.25,19260.5,658183.65672304,19223.03,0.06000000,19226.57,0.04000000,sell,483098664,0.02,2023-01-13T15:27:42.362951Z
ticker,53112579356,BTC-USD,19223.03,18086.83,50650.54524891,18055.25,19260.5,658183.71672304,19222.95,0.00671228,19226.57,0.04000000,sell,483098665,0.06,2023-01-13T15:27:42.362951Z
ticker,53112579358,BTC-USD,19222.95,18086.83,50650.55196119,18055.25,19260.5,658183.72343532,19222.68,0.04299316,19226.57,0.04000000,sell,483098666,0.00671228,2023-01-13T15:27:42.362951Z
ticker,53112579360,BTC-USD,19222.68,18086.83,50650.59495435,18055.25,19260.5,658183.76642848,19222.64,0.09275453,19226.57,0.04000000,sell,483098667,0.04299316,2023-01-13T15:27:42.362951Z
ticker,53112579362,BTC-USD,19222.64,18086.83,50650.63569316,18055.25,19260.5,658183.80716729,19222.64,0.05201572,19226.57,0.04000000,sell,483098668,0.04073881,2023-01-13T15:27:42.362951Z
ticker,53112579364,BTC-USD,19222.64,18086.83,50650.66170102,18055.25,19260.5,658183.83317515,19222.64,0.02600786,19226.57,0.04000000,sell,483098669,0.02600786,2023-01-13T15:27:42.362951Z
ticker,53112579366,BTC-USD,19222.64,18086.83,50650.68770888,18055.25,19260.5,658183.85918301,19222.60,0.05238533,19226.57,0.04000000,sell,483098670,0.02600786,2023-01-13T15:27:42.362951Z
ticker,53112579368,BTC-USD,19222.6,18086.83,50650.74009421,18055.25,19260.5,658183.91156834,19222.59,0.02601200,19226.57,0.04000000,sell,483098671,0.05238533,2023-01-13T15:27:42.362951Z
ticker,53112579370,BTC-USD,19222.59,18086.83,50650.76610621,18055.25,19260.5,658183.93758034,19222.35,0.04919123,19226.57,0.04000000,sell,483098672,0.026012,2023-01-13T15:27:42.362951Z
