Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['buy', '18210.04', '0.42337694']],2023-01-12T04:39:05.026321Z
l2update,BTC-USD,[['sell', '18210.05', '0.08707042']],2023-01-12T04:39:05.026505Z
l2update,BTC-USD,[['sell', '18210.96', '0.05400000']],2023-01-12T04:39:05.028760Z
l2update,BTC-USD,[['sell', '18210.05', '0.04006042']],2023-01-12T04:39:05.030697Z
l2update,BTC-USD,[['sell', '18210.94', '0.02000000']],2023-01-12T04:39:05.031021Z
l2update,BTC-USD,[['sell', '18212.43', '0.27237428']],2023-01-12T04:39:05.031069Z
l2update,BTC-USD,[['sell', '18211.68', '0.07833474']],2023-01-12T04:39:05.031172Z
l2update,BTC-USD,[['buy', '18208.92', '0.04000000']],2023-01-12T04:39:05.031990Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491430']],2023-01-12T04:39:05.032561Z
l2update,BTC-USD,[['sell', '18210.94', '0.00000000']],2023-01-12T04:39:05.037888Z
l2update,BTC-USD,[['sell', '18212.43', '0.16435500']],2023-01-12T04:39:05.041357Z
l2update,BTC-USD,[['sell', '18211.18', '0.08237116']],2023-01-12T04:39:05.043285Z
l2update,BTC-USD,[['buy', '18208.98', '0.13728507']],2023-01-12T04:39:05.043461Z
l2update,BTC-USD,[['sell', '18210.94', '0.01000000']],2023-01-12T04:39:05.043492Z
l2update,BTC-USD,[['sell', '18210.95', '0.07000000']],2023-01-12T04:39:05.043504Z
l2update,BTC-USD,[['sell', '18210.96', '0.04400000']],2023-01-12T04:39:05.046243Z
l2update,BTC-USD,[['sell', '18210.95', '0.05000000']],2023-01-12T04:39:05.048681Z
l2update,BTC-USD,[['sell', '18210.94', '0.00000000']],2023-01-12T04:39:05.048788Z
l2update,BTC-USD,[['sell', '18212.36', '0.00000000']],2023-01-12T04:39:05.051085Z
l2update,BTC-USD,[['sell', '18210.05', '0.08707042']],2023-01-12T04:39:05.051655Z
l2update,BTC-USD,[['buy', '18208.98', '0.02745764']],2023-01-12T04:39:05.055505Z
l2update,BTC-USD,[['sell', '18210.94', '0.02000000']],2023-01-12T04:39:05.057148Z
l2update,BTC-USD,[['sell', '18211.61', '0.08642171']],2023-01-12T04:39:05.057250Z
l2update,BTC-USD,[['sell', '18210.93', '0.01000000']],2023-01-12T04:39:05.057283Z
l2update,BTC-USD,[['sell', '18211.18', '0.05491430']],2023-01-12T04:39:05.059108Z
l2update,BTC-USD,[['sell', '18210.94', '0.00000000']],2023-01-12T04:39:05.062287Z
l2update,BTC-USD,[['sell', '18210.93', '0.00000000']],2023-01-12T04:39:05.062635Z
l2update,BTC-USD,[['sell', '18212.43', '0.27267076']],2023-01-12T04:39:05.067049Z
l2update,BTC-USD,[['buy', '18208.84', '0.14982821']],2023-01-12T04:39:05.067081Z
l2update,BTC-USD,[['sell', '18210.95', '0.07000000']],2023-01-12T04:39:05.070244Z
l2update,BTC-USD,[['sell', '18210.94', '0.01000000']],2023-01-12T04:39:05.070370Z
l2update,BTC-USD,[['sell', '18210.95', '0.09745706']],2023-01-12T04:39:05.070546Z
l2update,BTC-USD,[['sell', '18212.43', '0.16435500']],2023-01-12T04:39:05.079754Z
l2update,BTC-USD,[['sell', '18210.96', '0.00400000']],2023-01-12T04:39:05.107313Z
l2update,BTC-USD,[['sell', '18211.60', '0.04000000']],2023-01-12T04:39:05.119167Z
l2update,BTC-USD,[['sell', '18211.91', '0.03294284']],2023-01-12T04:39:05.164330Z
l2update,BTC-USD,[['sell', '18211.57', '0.04316108']],2023-01-12T04:39:05.171429Z
l2update,BTC-USD,[['sell', '18210.05', '0.04006042']],2023-01-12T04:39:05.173260Z
l2update,BTC-USD,[['sell', '18211.65', '0.02031392']],2023-01-12T04:39:05.175345Z
l2update,BTC-USD,[['sell', '18210.95', '0.07000000']],2023-01-12T04:39:05.175421Z
l2update,BTC-USD,[['sell', '18210.95', '0.02000000']],2023-01-12T04:39:05.176780Z
l2update,BTC-USD,[['buy', '18208.84', '0.04000000']],2023-01-12T04:39:05.176863Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745737']],2023-01-12T04:39:05.176957Z
l2update,BTC-USD,[['sell', '18211.18', '0.00000000']],2023-01-12T04:39:05.180637Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745686']],2023-01-12T04:39:05.183453Z
l2update,BTC-USD,[['sell', '18210.95', '0.00000000']],2023-01-12T04:39:05.184615Z
l2update,BTC-USD,[['buy', '18209.09', '0.14982742']],2023-01-12T04:39:05.187430Z
l2update,BTC-USD,[['sell', '18211.57', '0.07061794']],2023-01-12T04:39:05.187796Z
l2update,BTC-USD,[['sell', '18211.18', '0.00000000']],2023-01-12T04:39:05.188004Z
l2update,BTC-USD,[['sell', '18210.96', '0.02400000']],2023-01-12T04:39:05.191388Z
l2update,BTC-USD,[['sell', '18211.57', '0.09807513']],2023-01-12T04:39:05.193645Z
l2update,BTC-USD,[['sell', '18211.57', '0.05491405']],2023-01-12T04:39:05.193895Z
l2update,BTC-USD,[['sell', '18211.25', '0.12745685']],2023-01-12T04:39:05.199583Z
l2update,BTC-USD,[['sell', '18210.96', '0.07400000']],2023-01-12T04:39:05.199623Z
l2update,BTC-USD,[['sell', '18211.25', '0.10000000']],2023-01-12T04:39:05.210109Z
l2update,BTC-USD,[['sell', '18211.57', '0.08237090']],2023-01-12T04:39:05.220460Z
l2update,BTC-USD,[['sell', '18211.57', '0.05491405']],2023-01-12T04:39:05.232727Z
l2update,BTC-USD,[['sell', '18211.25', '0.12745685']],2023-01-12T04:39:05.241281Z
l2update,BTC-USD,[['buy', '18209.09', '0.10982742']],2023-01-12T04:39:05.280191Z
l2update,BTC-USD,[['buy', '18209.09', '0.00000000']],2023-01-12T04:39:05.283857Z
l2update,BTC-USD,[['sell', '18211.57', '0.02745686']],2023-01-12T04:39:05.283904Z
