Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['sell', '21162.52', '0.00800000']],2023-01-17T16:36:24.976441Z
l2update,BTC-USD,[['sell', '21165.02', '0.00000000']],2023-01-17T16:36:24.981164Z
l2update,BTC-USD,[['sell', '21165.01', '0.03367763']],2023-01-17T16:36:24.981183Z
l2update,BTC-USD,[['buy', '21158.60', '0.00475970']],2023-01-17T16:36:24.981196Z
l2update,BTC-USD,[['buy', '21158.60', '0.00413708']],2023-01-17T16:36:24.981261Z
l2update,BTC-USD,[['sell', '21165.01', '0.00000000']],2023-01-17T16:36:24.981877Z
l2update,BTC-USD,[['buy', '21158.70', '0.00065112']],2023-01-17T16:36:24.987153Z
l2update,BTC-USD,[['sell', '21165.04', '0.01693794']],2023-01-17T16:36:24.987313Z
l2update,BTC-USD,[['sell', '21164.33', '0.00000000']],2023-01-17T16:36:24.987364Z
l2update,BTC-USD,[['sell', '21164.11', '0.09249177']],2023-01-17T16:36:24.987372Z
l2update,BTC-USD,[['buy', '21158.60', '0.00258748']],2023-01-17T16:36:24.989473Z
l2update,BTC-USD,[['buy', '21158.60', '0.00000000']],2023-01-17T16:36:24.990233Z
l2update,BTC-USD,[['sell', '21165.04', '0.00000000']],2023-01-17T16:36:24.991821Z
l2update,BTC-USD,[['sell', '21165.04', '0.00009913']],2023-01-17T16:36:24.992412Z
l2update,BTC-USD,[['buy', '21158.70', '0.00096243']],2023-01-17T16:36:24.992453Z
l2update,BTC-USD,[['buy', '21158.70', '0.00116633']],2023-01-17T16:36:24.992462Z
l2update,BTC-USD,[['buy', '21158.69', '0.00032556']],2023-01-17T16:36:24.992472Z
l2update,BTC-USD,[['sell', '21165.04', '0.01139109']],2023-01-17T16:36:24.992540Z
l2update,BTC-USD,[['sell', '21164.76', '0.09451006']],2023-01-17T16:36:24.996158Z
l2update,BTC-USD,[['sell', '21165.05', '0.05753491']],2023-01-17T16:36:24.996346Z
l2update,BTC-USD,[['sell', '21165.04', '0.01129196']],2023-01-17T16:36:24.996857Z
l2update,BTC-USD,[['sell', '21165.04', '0.02589490']],2023-01-17T16:36:25.000137Z
l2update,BTC-USD,[['sell', '21165.05', '0.05870241']],2023-01-17T16:36:25.000146Z
l2update,BTC-USD,[['buy', '21158.70', '0.00246007']],2023-01-17T16:36:25.000156Z
l2update,BTC-USD,[['buy', '21158.70', '0.00180895']],2023-01-17T16:36:25.002629Z
l2update,BTC-USD,[['buy', '21158.70', '0.00160505']],2023-01-17T16:36:25.003239Z
l2update,BTC-USD,[['buy', '21158.69', '0.00178021']],2023-01-17T16:36:25.004052Z
l2update,BTC-USD,[['buy', '21158.70', '0.00237985']],2023-01-17T16:36:25.004118Z
