Type,Sequence,Product_ID,Price,Open_24h,Volume_24h,Low_24h,High_24h,Volume_30d,Best_bid,Best_bid_size,Best_ask,Best_ask_size,Side,Trade_ID,Last_size,Time
ticker,53021547481,BTC-USD,18103.92,17449.43,36316.26630071,17315.08,18375.68,635183.66290955,18102.91,0.14049910,18103.92,0.12019854,buy,482002328,0.00027479,2023-01-12T08:07:55.805354Z
ticker,53021547791,BTC-USD,18103.9,17449.43,36316.26714828,17315.08,18375.68,635183.66375712,18103.13,0.02307555,18103.90,0.03915243,buy,482002329,0.00084757,2023-01-12T08:07:56.698728Z
ticker,53021547920,BTC-USD,18103.18,17449.43,36316.26814828,17315.08,18375.68,635183.66475712,18103.18,0.08700000,18103.42,0.01000000,sell,482002330,0.001,2023-01-12T08:07:56.842579Z
ticker,53021547973,BTC-USD,18103.18,17449.43,36316.35514828,17315.08,18375.68,635183.75175712,18103.18,0.05217902,18103.19,0.11047776,sell,482002331,0.087,2023-01-12T08:07:56.867170Z
ticker,53021547975,BTC-USD,18103.18,17449.43,36316.37847810,17315.08,18375.68,635183.77508694,18103.18,0.02884920,18103.19,0.11047776,sell,482002332,0.02332982,2023-01-12T08:07:56.867170Z
ticker,53021547977,BTC-USD,18103.18,17449.43,36316.40731828,17315.08,18375.68,635183.80392712,18103.18,0.00000902,18103.19,0.11047776,sell,482002333,0.02884018,2023-01-12T08:07:56.867170Z
ticker,53021548002,BTC-USD,18103.18,17449.43,36316.40732730,17315.08,18375.68,635183.80393614,18103.17,0.02332982,18103.19,0.11047776,sell,482002334,0.00000902,2023-01-12T08:07:56.879236Z
ticker,53021548004,BTC-USD,18103.17,17449.43,36316.43063828,17315.08,18375.68,635183.82724712,18103.17,0.00001884,18103.19,0.11047776,sell,482002335,0.02331098,2023-01-12T08:07:56.879236Z
ticker,53021548249,BTC-USD,18103,17449.43,36316.43074877,17315.08,18375.68,635183.82735761,18102.99,0.05442460,18103.00,0.07587192,buy,482002336,0.00011049,2023-01-12T08:07:57.515171Z
ticker,53021548548,BTC-USD,18103,17449.43,36316.44129877,17315.08,18375.68,635183.83790761,18102.99,0.05442460,18103.00,0.00000192,buy,482002337,0.01055,2023-01-12T08:07:58.404353Z
ticker,53021548556,BTC-USD,18103,17449.43,36316.44130069,17315.08,18375.68,635183.83790953,18102.99,0.05442460,18103.19,0.11047776,buy,482002338,0.00000192,2023-01-12T08:07:58.434840Z
